Longitude,Latitude,Adres,Type Lader
47.610.712.051.392,5.156.377.248.352,Burgemeester de Manlaan 26 Breda,Krachtstroom The New Motion lolo mennekes
5.039.139.176,52.138.472.586,Harmonieplein 127 Maarssen,Krachtstroom E-laad DB0270 mennekes
5.020.803.595,52.208.497.042,Rijksstraatweg 96 Loenen aan de Vecht,Krachtstroom E-laad DB0271 mennekes
4.251.014.653,52.047.427.094,Zichtenburglaan 15 Den Haag,Krachtstroom E-laad AL844 mennekes
4.237.896.542,52.050.810.886,Kapelaan Meereboerweg 42 Den Haag,Krachtstroom E-laad AL845 mennekes
49.230.927.228.928,52.331.728.025.009,Van Marwijk Kooystraat 1A Duivendrecht,Snellader E-park Zuidpark chademo
5.369.068.551,52.144.939.122,Vondellaan 1 Amersfoort,Krachtstroom E-laad DB0045 mennekes
48.338.609.933.853,52.392.574.219.075,Basisweg 30 Amsterdam,Krachtstroom Telegraaf TMG HQ mennekes
5.104.608,52.657.015,Han Hoekstrahof 97 Hoorn,Krachtstroom E-laad AL833 mennekes
5.099.399.364,5.265.993.206,Gerard den Brabanderhof 116 Hoorn,Krachtstroom E-laad AL847 mennekes
432.065.128,52.076.978.703,Nieuwe Haven 71 Den Haag,Krachtstroom E-laad AL854 mennekes
4.382.057.466,52.048.348.393,Karekietsingel 1 Den Haag,Krachtstroom E-laad AL850 mennekes
4.393.267.644,52.062.416.683,Harry Diesfeldtlaan 2 Den Haag,Krachtstroom E-laad AL849 mennekes
4.370.297.271,520.340.449,Stiemensvaart 28 Den Haag,Krachtstroom E-laad AL851 mennekes
5.240.107,52.105.968,Badmeester Schenkpad 8 Zeist,Krachtstroom E-laad DB0044 mennekes
5.388.405,5.219.287,Hof der Toekomst 57 Amersfoort,Krachtstroom E-laad DB0037 mennekes
68.703.992.664.814,53.320.396.267.773,Farmsumerweg 25 Appingedam,Krachtstroom Toyota Reker lolo smart mennekes
4.974.596.636,52.271.004.195,'t Markvelt 1 Abcoude,Krachtstroom E-laad DB0309 mennekes
4.653.279,52.380.989,Nicolaas Beetsstraat 3 Haarlem,Krachtstroom E-laad REE110 mennekes
5.390.703.249,52.188.181.068,Het Labyrinth 5 Amersfoort,Krachtstroom E-laad DB0038 mennekes
64.951.314.032.078,52.464.530.635.695,Brink 9 Den Ham,Stopcontact Waanders Rijwielen schuko
5.580.233,52.898.935,F.D. Hoekstraplein 1 Balk,Krachtstroom E-laad AL853 mennekes
612.923.395,52.014.518.911,Contre Escarpe 32 Doesburg,Krachtstroom E-laad REE216 mennekes
4.767.288,52.617.957,Koelmalaan 350 Alkmaar,Krachtstroom E-laad AL448 mennekes
4.602.712.915,52.344.845.772,Amstellaan 10 Heemstede,Krachtstroom E-laad AL841 mennekes
49.154.659.835.222,52.064.554.026.748,Laan van Overvliet 9 Linschoten,Krachtstroom Nissan Linschoten mennekes
59.730.219.841.003,50.890.121.557.926,Parallelweg 1K Heerlen,Krachtstroom Q-Park Teleparking mennekes
4.304.323,51.510.045,Oude Moerstraatsebaan 39 Bergen op Zoom,Krachtstroom E-laad DB0028 mennekes
43.256.869.912.148,52.082.881.795.727,Prinses Irenestraat 1 Den Haag,Krachtstroom Q-Park CS New Babylon mennekes
561.383.664.608,52.254.827.019.243,Da Costastraat 57 Putten,Krachtstroom Vision mennekes
31.821.151.077.747,51.329.165.302.084,Adriaan de Gerlachestraat 8 Brugge,Stopcontact Zeebrugge Bad schuko
5.610.792.831,51.458.972.767,De Plaetse 152 Helmond,Krachtstroom E-laad DB0227 mennekes
4.367.251.182,52.003.637.893,Julianalaan 138 Delft,Krachtstroom E-laad DB0315 mennekes
4.378.779.317,52.007.002.909,Nassauplein 53 Delft,Krachtstroom E-laad DB0307 mennekes
4.352.826.262,52.006.150.947,Pootstraat 92 Delft,Krachtstroom E-laad DB0316 mennekes
448.063.528,52.226.236.575,Boekenburglaan 158 Voorhout,Krachtstroom E-laad DB0323 mennekes
6.080.712.746,5.252.312.468,Schumannlaan 52 Zwolle,Krachtstroom E-laad DB0322 mennekes
4.342.129.613,51.980.961.195,ZaÔrestraat 83 Delft,Krachtstroom E-laad DB0312 mennekes
487.112.998.962.402,523.372.993.469.238,Claude Debussylaan 43 Amsterdam,Stopcontact NewMotion 01000490 mennekes
5.706.130.027.771,508.483.009.338.379,Stationsplein 7 Maastricht,Stopcontact NewMotion 01000489 mennekes
489.458.990.097.046,523.763.999.938.965,Nieuwezijds Kolk 18 Amsterdam,Stopcontact NewMotion 01000473 mennekes
487.667.989.730.835,523.698.997.497.559,Marnixstraat 250 Amsterdam,Stopcontact NewMotion 01000858 mennekes
649.373.006.820.679,528.629.989.624.023,Ossebroeken 26 Beilen,Stopcontact NewMotion 01000061 mennekes
470.333.051.681.519,520.101.165.771.484,Sint Mariewal Gouda,Stopcontact NewMotion 01000548 mennekes
454.863.023.757.935,516.740.989.685.059,Houtsnipweg 2 Klundert,Stopcontact NewMotion 01000193 mennekes
568.758.010.864.258,508.498.001.098.633,Vrijthof 36 Maastricht,Stopcontact NewMotion 01000486 mennekes
67.858.467,522.697.585,Hampshire 13 Hengelo,Stopcontact NewMotion 02000821 mennekes
449.144.983.291.626,518.866.996.765.137,Twentestraat 26 Rotterdam,Stopcontact NewMotion 01000553 mennekes
504.312.992.095.947,521.236.991.882.324,Maarssenbroeksedijk 31 Utrecht,Stopcontact NewMotion 01001188 mennekes
431.013.011.932.373,520.746.994.018.555,Lutherse Burgwal 27 The Hague,Stopcontact NewMotion 01000251 mennekes
449.354.982.376.099,518.852.996.826.172,Casimirstraat 1-6 Rotterdam,Stopcontact NewMotion 01000549 mennekes
52.070.198.059.082,519.365.997.314.453,Pascalweg 29 Culemborg,Stopcontact NewMotion 01000041 mennekes
509.825.992.584.228,520.894.012.451.172,Jan Pieterszoon Coenstraat 9 Utrecht,Stopcontact NewMotion 01000895 mennekes
48.750.552,523.360.136,George Gershwinlaan 101 Amsterdam,Stopcontact NewMotion 01000973 mennekes
48.711.255,523.372.902,Claude Debussylaan 43 Amsterdam,Stopcontact NewMotion 01000502 mennekes
489.580.011.367.798,523.744.010.925.293,Beursstraat 39 Amsterdam,Stopcontact NewMotion 01000468 mennekes
447.382.020.950.317,519.226.989.746.094,Karel Doormanstraat 10 Rotterdam,Stopcontact NewMotion 01000565 mennekes
448.162.746.429.443,519.192.276.000.977,Bulgersteyn 7349 Rotterdam,Stopcontact NewMotion 01000544 mennekes
545.198.011.398.315,514.301.986.694.336,Beemdstraat 3A Eindhoven,Stopcontact NewMotion 01001146 mennekes
495.208.978.652.954,523.151.016.235.352,Bijlmerdreef 120A Amsterdam-Zuidoost,Stopcontact NewMotion 01000861 mennekes
514.706.530.000.001,520.780.896,Herculesplein 290 Utrecht,Stopcontact NewMotion 01000557 mennekes
445.867.013.931.274,519.029.998.779.297,Schiehavenkade Rotterdam,Stopcontact NewMotion 01000337 mennekes
569.179.010.391.235,514.631.004.333.496,Varenschut 5 Helmond,Stopcontact NewMotion 01000844 mennekes
431.808.996.200.562,520.410.003.662.109,Generaal Spoorlaan Rijswijk,Stopcontact NewMotion 01000991 mennekes
539.775.133.132.935,521.919.670.104.981,Krabbenkreek 41 Amersfoort,Stopcontact NewMotion 02002148 mennekes
578.059.720.993.042,509.881.019.592.285,Mauritslaan 65 Urmond,Stopcontact NewMotion 01000689 mennekes
570.133.018.493.652,508.456.001.281.738,Sonnevillelunet 5E Maastricht,Stopcontact NewMotion 01000396 mennekes
447.809.982.299.805,519.210.014.343.262,Aert van Neshof 12 Rotterdam,Stopcontact NewMotion 01000546 mennekes
4.458.671,519.029.813,Schiehavenkade Rotterdam,Stopcontact NewMotion 01000501 mennekes
448.162.984.848.022,519.192.008.972.168,Bulgersteyn 5 Rotterdam,Stopcontact NewMotion 01000542 mennekes
495.426.429.999.998,523.143.902,Bijlmerplein 700 Amsterdam-Zuidoost,Stopcontact NewMotion 01000970 mennekes
595.658.302.307.129,522.158.699.035.645,Roggestraat 163 Apeldoorn,Stopcontact NewMotion 01000855 mennekes
478.353.977.203.369,523.426.017.761.231,Stevinstraat 18 Badhoevedorp,Stopcontact NewMotion 01001154 mennekes
509.127.039,51.553.225.349,Koopvaardijstraat 33 Tilburg,Krachtstroom E-laad TIL_001 mennekes
4.366.779.114,52.012.579.891,Oranje Plantage 32 Delft,Krachtstroom E-laad DB0317 mennekes
5.228.869.093,52.253.641.568,Jordaan 3 Laren,Krachtstroom E-laad DB0303 mennekes
5.221.509.551,52.256.293.256,Stationsweg 1 Laren,Krachtstroom E-laad DB0302 mennekes
4.285.752.661,52.104.305.216,Haringkade 163 Den Haag,Krachtstroom E-laad AL861 mennekes
4.289.988.458,52.022.997.612,Athenesingel 74 Den Haag,Krachtstroom E-laad AL842 mennekes
4.404.682.924,52.075.146.109,Oude Middenweg 84 Den Haag,Krachtstroom E-laad AL856 mennekes
4.395.221.491,52.065.072.426,Pieter van der Meulenlaan 2 Den Haag,Krachtstroom E-laad AL857 mennekes
4.643.867.009,52.124.607.935,Evenaar 1 Alphen aan den Rijn,Krachtstroom E-laad AL829 mennekes
4.266.589,52.077.736,Thomsonlaan 130 Den Haag,Krachtstroom E-laad AL869 mennekes
54.777.735.471.725,52.507.379.855.446,Neringweg 157 Lelystad,Krachtstroom Parkeergarage Neringdek mennekes
43.833.196.163.177,52.143.589.230.212,Duinrell 1 Wassenaar,Stopcontact Attractiepark en Camping Duinrell B.V. schuko
4.299.481.924,52.108.153.169,Doorniksestraat 59 Den Haag,Krachtstroom E-laad AL862 mennekes
5.976.551.966,49.492.664.056,Parking Brill (-2)  Esch-sur-Alzette,Krachtstroom E-laad Sudstroum.Brl1 mennekes
54.753.568.768.501,5.250.661.254.964,Reaalhof 101 Lelystad,Krachtstroom Parkeergarage Zilverpark mennekes
54.741.579.294.205,52.510.899.495.106,Waagstraat 1 Lelystad,Krachtstroom Parkeergarage De Waag mennekes
6.152.369.373,52.262.714.532,Klinkenbeltsweg 11 Deventer,Krachtstroom E-laad DB0243 mennekes
4.712.875.272,52.592.985.219,De Kuilenaar 2 Heiloo,Krachtstroom E-laad DB0306 mennekes
549.274,52.221.171,Berkenlaan 2 Nijkerk,Krachtstroom E-laad REE223 mennekes
6.226.286.653,52.126.492.227,Jo spierlaan 1 Zutphen,Krachtstroom E-laad DB0235 mennekes
6.195.270.178,52.147.664.167,Dreef 10 Zutphen,Krachtstroom E-laad DB0304 mennekes
6.243.947,52.126.382,Rudolf Steinerlaan 45 Zutphen,Krachtstroom E-laad DB0247 mennekes
6.228.178,52.134.262,Runneboom 8 Warnsveld,Krachtstroom E-laad DB0301 mennekes
43.465.338,52.009.528.982,Westplantsoen 130 Delft,Krachtstroom E-laad DB0318 mennekes
4.851.042.017,52.287.144.407,Startbaan 10 Amstelveen,Krachtstroom E-laad AL826 mennekes
4.833.962,52.293.618,Noorddammerlaan 113 Amstelveen,Krachtstroom E-laad AL835 mennekes
4.518.711,52.227.566,Wilhelminalaan 25 Sassenheim,Krachtstroom E-laad DB0327 mennekes
4.404.516.187,52.071.516.082,Klaverveld 179 Den Haag,Krachtstroom E-laad AL858 mennekes
506.906.728,52.665.882.733,Julianalaan 9 Zwaag,Krachtstroom E-laad AL872 mennekes
44.770.909.845.829,51.918.505.967.961,Crispijnstraat 6 Rotterdam,Krachtstroom Interparking Lijnbaan mennekes
4.421.854.228,52.195.011.146,Commandeurspad 13 Katwijk aan Zee,Krachtstroom E-laad DB0326 mennekes
4.435.429.466,52.195.256.153,De Ruijterstraat 14 Rijnsburg,Krachtstroom E-laad DB0324 mennekes
520.551.828,51.948.806.129,Weversgildeplaats 31 Culemborg,Krachtstroom E-laad DB0275 mennekes
6.192.214.915,52.122.080.175,Stokebrand 430 Zutphen,Krachtstroom E-laad DB0245 mennekes
6.199.197,5.214.727,Coehoornsingel 2 Zutphen,Krachtstroom E-laad DB0294 mennekes
4.333.364.154,52.011.936.048,Van Foreestweg 193 Delft,Krachtstroom E-laad DB0313 mennekes
4.283.946.831,5.208.109.056,Reinkenstraat 2 Den Haag,Krachtstroom E-laad AL863 mennekes
4.487.915,52.222.739.435,Raadhuisplein 1 Voorhout,Krachtstroom E-laad DB0325 mennekes
4.267.393.458,52.060.459.895,Escamplaan 621 Den Haag,Krachtstroom E-laad AL855 mennekes
48.969.948.291.779,52.378.611.966.671,Prins Hendrikkade 20A Amsterdam,Krachtstroom P1 Parking Amsterdam Centraal mennekes
48.654.198.646.545,5.230.155.102.044,Meander 720 Amstelveen,Krachtstroom P1 Parking V&D mennekes
5.815.965,52.972.186,Aliehoeve 46 Joure,Krachtstroom E-laad AL874 mennekes
3.490.365.915,51.327.882.928,Schoolstraat 5 Oostburg,Krachtstroom E-laad AL824 mennekes
59.810.256.958.008,51.531.667.485.393,Hoogakker 11 Venray,Krachtstroom Ton Peeters IndustriÎle Automatisering BV mennekes
4.279.038.915,52.089.499.665,Stadhouderslaan 90 Den Haag,Krachtstroom E-laad AL864 mennekes
53.517.526.388.168,51.417.341.761.984,Toterfout 13A Veldhoven,Stopcontact Gasterij 't Dorpsgenot schuko
48.662.084.341.049,5.230.155.102.044,Handelsplein 51 Amstelveen,Krachtstroom Q-Park Handelsplein mennekes
5.422.622,51.381.267,Volmolen 4 Riethoven,Krachtstroom E-laad AL859 mennekes
5.867.331.513,51.841.472.235,Bijleveldsingel 145 Nijmegen,Krachtstroom E-laad REE224 mennekes
5.071.601.907,52.326.208.279,De Blauwe Wereld 5 Muiden,Krachtstroom E-laad DB0286 mennekes
4.276.442.364,5.208.042,Groot Hertoginnelaan 243 Den Haag,Krachtstroom E-laad AL866 mennekes
4.264.170.644,52.069.721.165,Laan van Eik en Duinen 110 Den Haag,Krachtstroom E-laad AL867 mennekes
50.928.336.381.912,51.558.786.753.181,Achter de Heuvel Tilburg,Stopcontact Parkeergarage Tivoli schuko
523.477.628,51.947.156.839,Henriette Roland Holststraat 2 Culemborg,Krachtstroom E-laad DB0285 mennekes
4.271.451.458,52.106.105.884,Zeeruststraat 238 Scheveningen,Krachtstroom E-laad AL860 mennekes
4.267.195.102,52.073.058.189,Kamperfoelieplein 11a Den Haag,Krachtstroom E-laad AL868 mennekes
43.191.504.478.455,52.077.201.483.573,Schedeldoekshaven 90 Den Haag,Krachtstroom P1 Parking Spui Den Haag mennekes
46.704.339.981.079,51.813.082.216.066,Korte Kolfstraat 235 Dordrecht,Krachtstroom P1 Parking Dordrecht Centre mennekes
51.293.653.249.741,52.093.706.343.591,Kruisstraat 2 Utrecht,Krachtstroom P1 Parking Utrecht Kruisstraat mennekes
5.112.242.102.623,52.091.007.044.689,Stationsstraat 152 Utrecht,Krachtstroom Interparking P3 Radboud mennekes
495.426.416.397.095,523.143.920.898.438,Bijlmerplein 700 Amsterdam-Zuidoost,Stopcontact NewMotion 01000967 mennekes
53.668.910.264.969,5.173.625.121.865,Deltapark 3 Rosmalen,Krachtstroom Deltapark Rosmalen mennekes
53.013.754.262.611,51.650.203.352.127,Glorieuxlaan 1 Vught,Krachtstroom Conferentiehotel Landgoed Huize Bergen mennekes
4.718.367.813,52.896.285.834,Zanddijk 255 Julianadorp,Krachtstroom E-laad DB0298 mennekes
51.131.808.757.782,52.089.474.403.032,Spoorstraat 17 Utrecht,Krachtstroom Interparking P2 Godebald mennekes
4.635.897.636,52.399.479.731,Stuyvesantstraat 2 Haarlem,Krachtstroom E-laad DB0334 mennekes
51.116.949.319.839,52.091.564.056.248,Stationsstraat 29 Utrecht,Krachtstroom Interparking P4 Stationsstraat mennekes
508.061.729.999.997,520.251.572,Koekoekslaan 1 Nieuwegein,Stopcontact NewMotion 01001022 mennekes
52.024.448.289.558,51.449.745.758.511,Spreeuwelsedijk 9 Oost West en Middelbeers,Krachtstroom Conferentiehotel De Spreeuwelse Heide mennekes
5.048.467.195,52.255.735.108,De Kooi 4 Nederhorst Den Berg,Krachtstroom E-laad AL775 mennekes
4.641.232.686,52.383.822.097,Koudenhorn 2 Haarlem,Krachtstroom E-laad DB0330 mennekes
4.719.545.323,52.906.385.354,Noorder Sandt 41 Julianadorp,Krachtstroom E-laad DB0274 mennekes
4.732.897,52.935.066.399,Jan Verfailleweg 5 Den Helder,Krachtstroom E-laad DB0284 mennekes
506.541.966,52.330.229.185,Weesperweg 2a Muiden,Krachtstroom E-laad DB0299 mennekes
4.129.854.227,51.831.550.502,Dibbetzplantsoen 6 Hellevoetsluis,Krachtstroom E-laad DB0314 mennekes
4.670.034,52.510.833,Van Coevenhovenstraat 33 Heemskerk,Krachtstroom E-laad AL830 mennekes
5.117.310.737,52.327.538.291,G.A. Heinzeplein 4 Muiderberg,Krachtstroom E-laad DB0319 mennekes
4.619.225.662,52.399.306.296,Verbindingsweg 2 Bloemendaal,Krachtstroom E-laad Al189 mennekes
4.271.678.551,52.090.597.592,Van Boetzelaerlaan 133 Den Haag,Krachtstroom E-laad AL865 mennekes
58.563.888.072.968,52.706.551.918.077,Waterlelie 21 Marknesse,Krachtstroom Weijs Marknesse mennekes
4.626.332.558,52.395.601.187,Begastraat 19 Haarlem,Krachtstroom E-laad DB0333 mennekes
5.454.942.187,52.176.377.448,Kantemarsweg 13 Hoevelaken,Krachtstroom E-laad REE228 mennekes
5.473.524.928.093,51.441.175.449.514,Mathildelaan 2 Eindhoven,Krachtstroom P1 Parking Mathildelaan Eindhoven mennekes
4.454.754.271,52.150.826.376,Theda Mansholtstraat 1 Leiden,Krachtstroom E-laad DB0338 mennekes
4.492.646.009,52.154.928.874,Garenmarkt 1a Leiden,Krachtstroom E-laad DB0337 mennekes
47.010.433.673.859,52.005.444.757.006,Constantijn Huygensstraat 110 Gouda,Krachtstroom PLUS van Ee mennekes
4.504.123,52.175.864,Papiermolen 1G Leiden,Krachtstroom E-laad DB0340 mennekes
4.481.335,52.174.434,Houtlaan 80 Leiden,Krachtstroom E-laad DB0336 mennekes
4.493.482,52.147.272,De Sitterlaan 1a Leiden,Krachtstroom E-laad DB0335 mennekes
482.768,52.245.842,Zijdelwaardplein 75 Uithoorn,Krachtstroom E-laad AL834 mennekes
58.707.527.071.238,50.997.547.067.063,Markt 3 Sittard,Stopcontact COFFEE MUNDO schuko
487.991.069.999.998,523.620.175,Tesselschadestraat 1G Amsterdam,Stopcontact NewMotion 01000957 mennekes
514.706.530.000.001,520.780.896,Herculesplein 290 Utrecht,Stopcontact NewMotion 01000854 mennekes
456.131.310.000.001,519.514.974,Watermanweg 45 Rotterdam,Stopcontact NewMotion 01000560 mennekes
488.001.350.000.002,52.356.877,Van Baerlestraat 33B Amsterdam,Stopcontact NewMotion 01000968 mennekes
48.588.215,523.030.786,Stadsplein 102 Amstelveen,Stopcontact NewMotion 02000414 mennekes
48.643.313,523.846.887,Van Bleiswijkstraat 8 Amsterdam,Stopcontact NewMotion 01000966 mennekes
596.188.580.000.001,52.213.722,Oranjerie 1 Apeldoorn,Stopcontact NewMotion 01000862 mennekes
484.251.549.999.999,523.795.377,Leeuwendalersweg 23 Amsterdam,Stopcontact NewMotion 01000865 mennekes
597.040.843.963.623,50.890.811.920.166,Parallelweg 1S Heerlen,Stopcontact NewMotion 02000280 mennekes
6.914.856,533.386.576,Winterpeil 5 Delfzijl,Stopcontact NewMotion 02000611 mennekes
465.365.240.000.006,523.255.262,Spaarnepoort 2 Hoofddorp,Stopcontact NewMotion 01000597 mennekes
593.990.993.499.756,519.700.012.207.031,Westervoortsedijk 73 Arnhem,Stopcontact NewMotion 01000788 mennekes
5.980.796,515.318.606,Hoogakker 11 Venray,Stopcontact NewMotion 02000721 mennekes
470.333.070.000.004,520.101.161,Sint Mariewal Gouda,Stopcontact NewMotion 01001217 mennekes
490.245.008.468.628,52.076.000.213.623,Straat van Gibraltar 7 Woerden,Stopcontact NewMotion 01000459 mennekes
524.026.489.257.812,517.881.393.432.617,Groenestraat 6 Bruchem,Stopcontact NewMotion 02000878 mennekes
53.505.744.934.082,517.194.976.806.641,Halleystraat 6 Rosmalen,Stopcontact NewMotion 02000265 mennekes
5.475.327.372.551,51.440.132.191.582,Emmasingel 2A Eindhoven,Krachtstroom P1 Parking De Witte Dame mennekes
44.252.049.922.943,51.897.484.346.682,Directiekade 2 Rotterdam,Stopcontact ICDuBo schuko
44.848.090.410.233,51.904.695.090.349,Wilhelminakade 981 Rotterdam,Krachtstroom Parkeergarage P1 World Port Center mennekes
53.720.381.855.965,52.136.340.344.356,Boeroestraat 6 Amersfoort,Stopcontact Anne Marie Weggelaar schuko
50.812.196.731.567,51.554.200.732.669,Louis Bouwmeesterplein 26-27 Tilburg,Stopcontact Parkeergarage Louis Bouwmeesterplein schuko
52.073.585.987.091,52.246.792.396.517,Hilversumseweg 38 Laren,Krachtstroom La Place Laren mennekes
54.802.519.083.023,51.444.107.812.927,Kennedyplein 400 Eindhoven,Krachtstroom P1 Parking Kennedyplein Eindhoven mennekes
67.952.799.797.058,52.263.715.461.893,B.P. Hofstedestraat 41 Hengelo,Krachtstroom P1 Parking Hengelo Centre mennekes
4.258.237,51.822.241,Nijverheidstraat 23 Zuidland,Krachtstroom E-laad DB0291 mennekes
48.747.110.366.821,52.216.074.019.954,Provincialeweg 3 Mijdrecht,Stopcontact Hotel Mijdrecht Marickenland schuko
4.675.433.644,51.984.306.861,Karel Doormanlaan 27 Gouderak,Krachtstroom E-laad DB0273 mennekes
47.701.799.869.537,51.613.399.860.891,Konijnenberg 92 Breda,Krachtstroom Makro Breda EV-Box mennekes
531.948.856,5.240.313.109,Tante Pollewopstraat 11 Almere,Krachtstroom E-laad AL800 mennekes
46.335.428.953.171,5.244.746.034.389,Spieghellaan 19 Driehuis,Krachtstroom Alp Maritime Services mennekes
5.265.641.813,52.287.833.688,Wetering 72 Blaricum,Krachtstroom E-laad DB0288 mennekes
4.246.126.831,51.863.726.003,Toldam 5 Heenvliet,Krachtstroom E-laad DB0236 mennekes
49.944.136,518.378.632,Herman Gorterstraat 5 Gorinchem,Stopcontact NewMotion 02000834 mennekes
4.794.143,52.238.742,Drechtdijk 9 De Kwakel,Krachtstroom E-laad AL820 mennekes
4.486.196.423,51.794.522.431,Laan van Moerkerken 20 Mijnsheerenland,Krachtstroom E-laad AL828 mennekes
46.173.248,522.723.207,Reestein 16 Nieuw-Vennep,Stopcontact NewMotion 02001287 mennekes
58.564.395.904.541,527.065.048.217.774,Waterlelie 21 Marknesse,Stopcontact NewMotion 02001788 mennekes
43.259.596,520.829.757,Prinses Irenestraat 4 The Hague,Stopcontact NewMotion 02000254 mennekes
59.568.452.835.083,522.152.519.226.074,Roggestraat 111-163 Apeldoorn,Stopcontact NewMotion 01000851 mennekes
486.604.452.133.179,52.301.399.230.957,Handelsweg 51 Amstelveen,Stopcontact NewMotion 02001226 mennekes
53.721.443,521.362.876,Boeroestraat 6 Amersfoort,Stopcontact NewMotion 02000566 mennekes
478.323.125.839.233,527.910.995.483.398,De Fok 8 Schagen,Stopcontact NewMotion 02000645 mennekes
44.645.231,519.795.416,Rodenrijseweg 323 Berkel en Rodenrijs,Stopcontact NewMotion 02000885 mennekes
48.158.897,522.969.548,Rietwijkeroordweg 69 Aalsmeer,Stopcontact NewMotion 02001855 mennekes
464.764.451.980.591,515.936.088.562.012,Rijsdijk 84 Etten-Leur,Stopcontact NewMotion 01000208 mennekes
553.769.826.889.038,517.519.264.221.191,Forsythialaan 2 Oss,Stopcontact NewMotion 02001534 mennekes
47.016.935,520.055.482,Constantijn Huygensstraat 110 Gouda,Stopcontact NewMotion 02001291 mennekes
61.475.097,530.359.336,Binnenwei 85 Hemrik,Stopcontact NewMotion 02001135 mennekes
503.818.702.697.754,521.207.885.742.188,Floraweg 25 Utrecht,Stopcontact NewMotion 01000340 mennekes
490.245.008.468.628,520.760.002.136.231,Straat van Gibraltar 7 Woerden,Stopcontact NewMotion 01000466 mennekes
511.261.769.999.999,52.091.256,Stationsstraat 152 Utrecht,Stopcontact NewMotion 02000263 mennekes
676.198.053.359.985,523.200.340.270.996,Kolklanden 3 Hertme,Stopcontact NewMotion 02000820 mennekes
49.696.984,523.427.359,Kruisstraat 2 Utrecht,Stopcontact NewMotion 02001551 mennekes
51.116.526,520.913.864,Stationsstraat 29 Utrecht,Stopcontact NewMotion 02001056 mennekes
48.967.695,523.788.237,Prins Hendrikkade 20A Amsterdam,Stopcontact NewMotion 02000828 mennekes
51.126.177,52.091.256,Stationsstraat 152 Utrecht,Stopcontact NewMotion 02001039 mennekes
511.233.329.772.949,520.898.857.116.699,Stationsplein 97 Utrecht,Stopcontact NewMotion 02001113 mennekes
547.479.399.999.997,514.413.827,Mathildelaan 2A Eindhoven,Stopcontact NewMotion 02001552 mennekes
486.710.840.000.001,522.999.741,Meander 1019 Amstelveen,Stopcontact NewMotion 02001548 mennekes
467.061,518.131.476,Korte Kolfstraat 235 Dordrecht,Stopcontact NewMotion 02001566 mennekes
422.700.262.069.702,520.314.636.230.469,ABC Westland 140 Poeldijk,Stopcontact NewMotion 02002918 mennekes
1.031.077,4.356.496,ENEL Engineering & Research ,Snellader chademo
4.286.546,51.496.359,Sint-Catharinaplein 9 Bergen op Zoom,Krachtstroom E-laad REE205 mennekes
4.499.324.458,52.259.569,Korenbloem 11 Noordwijkerhout,Krachtstroom E-laad DB0328 mennekes
47.692.894.935.608,51.613.266.616.174,Vossenberg 4 Breda,Stopcontact Makro Breda EV-Box schuko
67.799.672.484.398,51.942.538.708.727,Kottenseweg 172 Winterswijk Kotten,Krachtstroom LMI-Oostgelderland mennekes
4.690.147.831,52.510.950.589,Deukelven 71 Heemskerk,Krachtstroom E-laad AL848 mennekes
4.240.585,51.851.845,Gemeenlandsedijk Noord 26 Abbenbroek,Krachtstroom E-laad DB0293 mennekes
6.088.918,51.548.844,Grotestraat 41 Well,Krachtstroom E-laad AL719 mennekes
37.634.766,55.745.651,"MOESK(Sadovnicheskaya ulitsa, Moskva) ",Snellader chademo
37.536.137,55.656.998,"MOESK(Ulitsa Obrucheva,Moskva)  ",Snellader chademo
37.650.768,55.724.411,"MOESK(Moskva, Derbenevskaya naberezhnaya) ",Snellader chademo
5.299.653,51.685.847,Kruisbroedershof 4 's-Hertogenbosch,Krachtstroom E-laad AL836 mennekes
446.059.942.245.483,52.263.671.875,Duinweg 84A Noordwijk,Stopcontact NewMotion 02001407 mennekes
525.011.920.928.955,518.273.735.046.387,Industrieweg 1A Waardenburg,Stopcontact NewMotion 02000506 mennekes
44.768.188,519.185.379,Crispijnstraat 8 Rotterdam,Stopcontact NewMotion 02000802 mennekes
465.703.582.763.672,520.701.408.386.231,Kersengaarde 13 Boskoop,Stopcontact NewMotion 02001813 mennekes
487.186.527.252.197,523.369.636.535.645,Gustav Mahlerlaan 48 Amsterdam,Stopcontact NewMotion 01000547 mennekes
5.470.988,52.496.649,Zevenwouden 22 Lelystad,Krachtstroom E-laad DB0030 mennekes
479.706.764.221.191,530.542.755.126.953,Groeneplaats 14 Den Burg,Stopcontact NewMotion 02003483 mennekes
61.553.156.375.885,51.333.038.295.313,Glazenapstraat 21 Tegelen,Krachtstroom Plus Verbeeten Tegelen mennekes
5.440.006,52.501.606,Vaartweg 50 Lelystad,Krachtstroom E-laad DB0040 mennekes
523.191.022.872.925,520.912.017.822.266,Oude Arnhemseweg 199 Zeist,Stopcontact NewMotion 01000006 mennekes
56.409.871,516.521.207,Liessentstraat 2 Uden,Stopcontact NewMotion 02001844 mennekes
47.725.392,530.994.061,Stappeland 112-114 De Koog,Stopcontact NewMotion 02003419 mennekes
64.035.272.598.267,52.027.874.714.222,Ruurloseweg 42 Zelhem,Stopcontact 't Wolfershuus schuko
51.096.081.733.704,52.066.184.958.823,Europalaan 40 Utrecht,Krachtstroom Berenschot BV mennekes
56.392.908.096.313,52.018.566.029.417,Allendesingel 44 Ede,"Stopcontact Lolo Allendesingel 44, Ede schuko"
